Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2023-24,2024-25,2025-26,2026-27,2027-28,Source document,Source table,URL
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Financial Assistance towards legal costs and related expenses,,11908,4865,4947,5143,5246,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Financial assistance towards legal and related expenses – expenses for witnesses appearing before the Royal Commission into Defence and Veteran Suicide,,3786,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,"Financial Assistance towards legal costs and related expenses - expenses for witnesses to the Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",,131,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Indigenous Justice,,845,1541,1547,1577,1611,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Justice Sector Education,,597,540,326,175,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Legal support services for survivors engaging with the Commonwealth redress scheme for survivors of institutional child sexual abuse,,8361,13454,3367,5610,8583,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Native Title System,,414,417,371,377,385,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Payments for grants to Australian organisations,,1052,1075,1095,1116,1138,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Payments for membership to international bodies,,355,377,357,364,372,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Payments for Services Under Family law Act 1975 and the Child Support Scheme Legislation,,1937,1972,2006,2042,2083,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Payments for the provision of community legal services - legal advice service supporting the Royal Commission into Defence and Veteran Suicide,,4412,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,"Payments for the provision of community legal services - legal advice service supporting the Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",,591,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Payments to Law courts Limited for contributions to operating and capital expenses,,5833,5919,5523,4703,4796,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Protecting the rights of older Australians,,10637,12094,8908,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Support for Specialist Family Violence Legal Services,,15490,15426,15700,2515,2566,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,World Intellectual Property Organisation Contributions,,310,314,314,314,314,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,High Court Justices (Long Leave Payments) Act 1979,,650,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Law Officers Act 1964,,310,310,310,310,310,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Public Governance Performance and Accountability Act 2013 - s77,,20,20,20,20,20,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Services for Other Entities and Trust Moneys - Attorney-General's Department Special Account,,1039,1039,1039,1039,1039,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Australian Human Rights Commission,,31315,32129,29823,30504,30692,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.5: Family Relationships,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,266789,275384,281326,281187,286810,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,Justice Reinvestment,,27608,20000,20000,20000,20000,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,Modern Slavery - Community Crime Prevention Program,,1555,1530,519,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,National cybercrime capability,,6796,4700,3187,2700,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,Payments for Grants to Australian organisations,,1830,1889,1931,1970,2009,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,Payments for Membership to international bodies,,124,128,130,133,137,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,Safer Communities Fund,,12071,4868,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,Strengthening community safety in Central Australia,,1000,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.6: Criminal Justice,Administered Expenses,Proceeds of Crime Act 2002,,52360,28404,10167,6167,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.7: Royal Commissions,Administered Expenses,Royal Commission into Defence and Veteran Suicide,,51073,3471,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.7: Royal Commissions,Administered Expenses,"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",,20832,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.7: Royal Commissions,Administered Expenses,Royal Commission into the Robodebt Scheme,,1180,0,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.7: Royal Commissions,Administered Expenses,Expenses not requiring appropriation in the Budget year,,5122,4451,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.8: Nuclear Powered Submarine Program,Departmental Expenses,Departmental appropriation,,1228,1180,0,0,0,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Office of the Inspector-General of Intelligence and Security,"Outcome 1: Independent assurance for the Prime Minister, senior ministers and Parliament as to whether Australia's intelligence and security agencies act legally and with propriety by inspecting, inquiring into and reporting on their activities",Program 1.1: Office of the Inspector-General of Intelligence and Security,Departmental Expenses,Departmental appropriation,,10529,16192,18894,19203,19607,2024-25 PB Statement OIGIS.XLSX,Table 2.1.1,
Attorney-General's,Office of the Inspector-General of Intelligence and Security,"Outcome 1: Independent assurance for the Prime Minister, senior ministers and Parliament as to whether Australia's intelligence and security agencies act legally and with propriety by inspecting, inquiring into and reporting on their activities",Program 1.1: Office of the Inspector-General of Intelligence and Security,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,1944,514,1062,1175,934,2024-25 PB Statement OIGIS.XLSX,Table 2.1.1,
Attorney-General's,Office of the Special Investigator,"Outcome 1: Ensure Australian law and principles of justice are upheld through investigating activities of Australian Defence Force personnel in Afghanistan from 2005 to 2016, and referring alleged criminal offences including breaches of the Laws of Armed Conflict for prosecution",Program 1.1: Independent Investigation,Departmental Expenses,Departmental appropriation,,56501,57856,0,0,0,2024-25 PB Statement OSI.xlsx,Table 2.1.1,
Attorney-General's,Office of the Special Investigator,"Outcome 1: Ensure Australian law and principles of justice are upheld through investigating activities of Australian Defence Force personnel in Afghanistan from 2005 to 2016, and referring alleged criminal offences including breaches of the Laws of Armed Conflict for prosecution",Program 1.1: Independent Investigation,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,540,540,0,0,0,2024-25 PB Statement OSI.xlsx,Table 2.1.1,
Attorney-General's,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate",Program 1.1: Administrative Appeals Tribunal and Immigration Assessment Authority,Administered Expenses,Special appropriations,,12500,12500,12500,12500,12500,2024-25 PB Statement AAT.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate",Program 1.1: Administrative Appeals Tribunal and Immigration Assessment Authority,Departmental Expenses,Departmental appropriation,,222674,257737,228350,214181,211720,2024-25 PB Statement AAT.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate",Program 1.1: Administrative Appeals Tribunal and Immigration Assessment Authority,Departmental Expenses,s74 External Revenue,,250,250,300,300,300,2024-25 PB Statement AAT.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate",Program 1.1: Administrative Appeals Tribunal and Immigration Assessment Authority,Departmental Expenses,Other Gains,,600,600,600,600,300,2024-25 PB Statement AAT.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate",Program 1.1: Administrative Appeals Tribunal and Immigration Assessment Authority,Departmental Expenses,Depreciation and Amortisation,,25560,25500,28700,32797,28475,2024-25 PB Statement AAT.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate",Program 1.1: Administrative Appeals Tribunal and Immigration Assessment Authority,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,26160,26100,29300,33397,28775,2024-25 PB Statement AAT.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Administrative Appeals Tribunal,"Outcome 1: Provide correct or preferable decisions through a mechanism of independent review of administrative decisions that is accessible, fair, just, economical, informal, quick and proportionate",Program 1.1: Administrative Appeals Tribunal and Immigration Assessment Authority,Departmental Expenses,Departmental expenses less; lease principal repayments,,-14400,-14400,-14400,-18758,-19290,2024-25 PB Statement AAT.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Australian Criminal Intelligence Commission,"Outcome 1: To protect Australia from criminal threats through coordinating a strategic response and the collection, assessment and dissemination of intelligence and policing information",Program 1.1: Australian Criminal Intelligence Commission,Departmental Expenses,Departmental appropriation,,146985,145551,117050,102088,103526,2024-25 PB Statement ACIC.XLSX,Table 2.X.1 NCCE,
Attorney-General's,Australian Criminal Intelligence Commission,"Outcome 1: To protect Australia from criminal threats through coordinating a strategic response and the collection, assessment and dissemination of intelligence and policing information",Program 1.1: Australian Criminal Intelligence Commission,Departmental Expenses,s74 External Revenue,,13142,5270,4969,4843,2309,2024-25 PB Statement ACIC.XLSX,Table 2.X.1 NCCE,
Attorney-General's,Australian Criminal Intelligence Commission,"Outcome 1: To protect Australia from criminal threats through coordinating a strategic response and the collection, assessment and dissemination of intelligence and policing information",Program 1.1: Australian Criminal Intelligence Commission,Departmental Expenses,National Policing Information Systems and Services Special Account,,153729,150539,156317,163683,171745,2024-25 PB Statement ACIC.XLSX,Table 2.X.1 NCCE,
Attorney-General's,Australian Criminal Intelligence Commission,"Outcome 1: To protect Australia from criminal threats through coordinating a strategic response and the collection, assessment and dissemination of intelligence and policing information",Program 1.1: Australian Criminal Intelligence Commission,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,9375,8242,6565,6740,6740,2024-25 PB Statement ACIC.XLSX,Table 2.X.1 NCCE,
Attorney-General's,Australian Federal Police,"Outcome 1: Reduce criminal and national security threats to Australia's collective economic and societal interests through cooperative national and international policing services, primarily focused on the prevention, detection, disruption, investigation and prosecution of criminal activity",Program 1.1: Federal Policing – Investigations,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,1071,1107,1132,1180,1222,2024-25 PB Statement AFP.xlsx,2.1.1 Outcome 1,
Attorney-General's,Australian Federal Police,"Outcome 1: Reduce criminal and national security threats to Australia's collective economic and societal interests through cooperative national and international policing services, primarily focused on the prevention, detection, disruption, investigation and prosecution of criminal activity",Program 1.1: Federal Policing – Investigations,Administered Expenses,Special appropriation PGPA Act 2013 s77,,50,50,0,0,0,2024-25 PB Statement AFP.xlsx,2.1.1 Outcome 1,
Attorney-General's,Australian Federal Police,"Outcome 1: Reduce criminal and national security threats to Australia's collective economic and societal interests through cooperative national and international policing services, primarily focused on the prevention, detection, disruption, investigation and prosecution of criminal activity",Program 1.1: Federal Policing – Investigations,Departmental Expenses,Departmental appropriation,,737857,789011,706566,709250,746522,2024-25 PB Statement AFP.xlsx,2.1.1 Outcome 1,
Attorney-General's,Australian Federal Police,"Outcome 1: Reduce criminal and national security threats to Australia's collective economic and societal interests through cooperative national and international policing services, primarily focused on the prevention, detection, disruption, investigation and prosecution of criminal activity",Program 1.1: Federal Policing – Investigations,Departmental Expenses,s74 External Revenue,,111171,92208,58680,58728,50937,2024-25 PB Statement AFP.xlsx,2.1.1 Outcome 1,
Attorney-General's,Australian Federal Police,"Outcome 1: Reduce criminal and national security threats to Australia's collective economic and societal interests through cooperative national and international policing services, primarily focused on the prevention, detection, disruption, investigation and prosecution of criminal activity",Program 1.1: Federal Policing – Investigations,Departmental Expenses,Services for Other Entities and Trust Moneys,,10628,10628,10628,10628,10628,2024-25 PB Statement AFP.xlsx,2.1.1 Outcome 1,
Attorney-General's,Australian Federal Police,"Outcome 1: Reduce criminal and national security threats to Australia's collective economic and societal interests through cooperative national and international policing services, primarily focused on the prevention, detection, disruption, investigation and prosecution of criminal activity",Program 1.1: Federal Policing – Investigations,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,92627,86635,89461,89432,128983,2024-25 PB Statement AFP.xlsx,2.1.1 Outcome 1,
Attorney-General's,Australian Federal Police,Outcome 2: A safe and secure environment through policing activities on behalf of the Australian Capital Territory Government,Program 2.1: ACT Community Policing,Departmental Expenses,s74 External Revenue,,215874,218492,228382,233159,241650,2024-25 PB Statement AFP.xlsx,2.2.1 Outcome 2,
Attorney-General's,Australian Federal Police,Outcome 2: A safe and secure environment through policing activities on behalf of the Australian Capital Territory Government,Program 2.1: ACT Community Policing,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,7661,8427,8593,8787,9005,2024-25 PB Statement AFP.xlsx,2.2.1 Outcome 2,
Attorney-General's,Australian Federal Police,"Outcome 3: Safeguarding Australians and Australian interests through the delivery of policing services primarily focused on protective services, aviation policing and international partnerships",Program 3.1: Specialist Protective Services,Departmental Expenses,Departmental appropriation,,456110,479048,448499,465009,464656,2024-25 PB Statement AFP.xlsx,2.3.1 Outcome 3,
Attorney-General's,Australian Federal Police,"Outcome 3: Safeguarding Australians and Australian interests through the delivery of policing services primarily focused on protective services, aviation policing and international partnerships",Program 3.1: Specialist Protective Services,Departmental Expenses,s74 External Revenue,,55992,57877,59896,61984,64145,2024-25 PB Statement AFP.xlsx,2.3.1 Outcome 3,
Attorney-General's,Australian Federal Police,"Outcome 3: Safeguarding Australians and Australian interests through the delivery of policing services primarily focused on protective services, aviation policing and international partnerships",Program 3.1: Specialist Protective Services,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,30289,36887,32080,27223,22382,2024-25 PB Statement AFP.xlsx,2.3.1 Outcome 3,
Attorney-General's,Australian Federal Police,"Outcome 3: Safeguarding Australians and Australian interests through the delivery of policing services primarily focused on protective services, aviation policing and international partnerships",Program 3.2: International Police Assistance and External Territories,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,19165,59005,59954,74632,77429,2024-25 PB Statement AFP.xlsx,2.3.1 Outcome 3,
Attorney-General's,Australian Federal Police,"Outcome 3: Safeguarding Australians and Australian interests through the delivery of policing services primarily focused on protective services, aviation policing and international partnerships",Program 3.2: International Police Assistance and External Territories,Departmental Expenses,Departmental appropriation,,221683,221194,221245,227370,232595,2024-25 PB Statement AFP.xlsx,2.3.1 Outcome 3,
Attorney-General's,Australian Federal Police,"Outcome 3: Safeguarding Australians and Australian interests through the delivery of policing services primarily focused on protective services, aviation policing and international partnerships",Program 3.2: International Police Assistance and External Territories,Departmental Expenses,s74 External Revenue,,13162,10030,9895,9080,9353,2024-25 PB Statement AFP.xlsx,2.3.1 Outcome 3,
Attorney-General's,Australian Federal Police,"Outcome 3: Safeguarding Australians and Australian interests through the delivery of policing services primarily focused on protective services, aviation policing and international partnerships",Program 3.2: International Police Assistance and External Territories,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,4559,4119,3374,2336,1802,2024-25 PB Statement AFP.xlsx,2.3.1 Outcome 3,
Attorney-General's,Australian Financial Security Authority,"Outcome 1: Maintain confidence in Australia's personal insolvency and personal property securities systems by delivering fair, efficient and effective regulatory, trustee, registry and information services",Program 1.1: Personal Insolvency and Trustee Services,Administered Expenses,Public Governance Performance and Accountability Act 2013 - s77,,1500,1500,1500,1500,1500,2024-25 PB Statement AFSA.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Australian Financial Security Authority,"Outcome 1: Maintain confidence in Australia's personal insolvency and personal property securities systems by delivering fair, efficient and effective regulatory, trustee, registry and information services",Program 1.1: Personal Insolvency and Trustee Services,Administered Expenses,Bankruptcy Act 1966,,1500,1500,1500,1500,1500,2024-25 PB Statement AFSA.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Australian Financial Security Authority,"Outcome 1: Maintain confidence in Australia's personal insolvency and personal property securities systems by delivering fair, efficient and effective regulatory, trustee, registry and information services",Program 1.1: Personal Insolvency and Trustee Services,Administered Expenses,Confiscated Assets Account,,81641,81844,64844,57520,60520,2024-25 PB Statement AFSA.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Australian Financial Security Authority,"Outcome 1: Maintain confidence in Australia's personal insolvency and personal property securities systems by delivering fair, efficient and effective regulatory, trustee, registry and information services",Program 1.1: Personal Insolvency and Trustee Services,Administered Expenses,Common Investment Fund Equalisation Account,,318,324,324,324,324,2024-25 PB Statement AFSA.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Australian Financial Security Authority,"Outcome 1: Maintain confidence in Australia's personal insolvency and personal property securities systems by delivering fair, efficient and effective regulatory, trustee, registry and information services",Program 1.1: Personal Insolvency and Trustee Services,Departmental Expenses,Departmental appropriation,,53543,43832,45313,46415,46415,2024-25 PB Statement AFSA.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Australian Financial Security Authority,"Outcome 1: Maintain confidence in Australia's personal insolvency and personal property securities systems by delivering fair, efficient and effective regulatory, trustee, registry and information services",Program 1.1: Personal Insolvency and Trustee Services,Departmental Expenses,s74 External Revenue,,2823,9112,11308,11913,11451,2024-25 PB Statement AFSA.xlsx,Table 2.1.1 NCCE,
Attorney-General's,Australian Financial Security Authority,"Outcome 1: Maintain confidence in Australia's personal insolvency and personal property securities systems by delivering fair, efficient and effective regulatory, trustee, registry and information services",Program 1.1: Personal Insolvency and Trustee Services,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,3511,1825,3249,3249,3249,2024-25 PB Statement AFSA.xlsx,Table 2.1.1 NCCE,
